station,connecting_line,connecting_lineLabel,coordinate_location,station_code,stationLabel
http://www.wikidata.org/entity/Q5170696,http://www.wikidata.org/entity/Q61001198,Ramal de São Paulo,Point(-46.471159 -23.542207),ITQ,Terminal Intermodal Corinthians-Itaquera
http://www.wikidata.org/entity/Q5244789,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.640112 -23.647134),JAB,Terminal Intermodal Jabaquara
http://www.wikidata.org/entity/Q7195875,http://www.wikidata.org/entity/Q3308457,Linha 4 do Metrô de São Paulo,Point(-46.70193 -23.56726),PIN,Terminal Intermodal Pinheiros
http://www.wikidata.org/entity/Q48855691,http://www.wikidata.org/entity/Q5430612,Linha 15 do Metrô de São Paulo,Point(-46.50084 -23.61471),SAP,Terminal Intermodal Sapopemba
http://www.wikidata.org/entity/Q19707353,http://www.wikidata.org/entity/Q5430612,Linha 15 do Metrô de São Paulo,Point(-46.47745 -23.61227),MAT,Terminal Intermodal São Mateus
http://www.wikidata.org/entity/Q5692522,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.581999 -23.584519),VPT,Terminal Intermodal Vila Prudente
http://www.wikidata.org/entity/Q5692522,http://www.wikidata.org/entity/Q5430612,Linha 15 do Metrô de São Paulo,Point(-46.581999 -23.584519),VPT,Terminal Intermodal Vila Prudente
http://www.wikidata.org/entity/Q5692522,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.581999 -23.584519),VPM,Terminal Intermodal Vila Prudente
http://www.wikidata.org/entity/Q5692522,http://www.wikidata.org/entity/Q5430612,Linha 15 do Metrô de São Paulo,Point(-46.581999 -23.584519),VPM,Terminal Intermodal Vila Prudente
http://www.wikidata.org/entity/Q7930027,http://www.wikidata.org/entity/Q3308457,Linha 4 do Metrô de São Paulo,Point(-46.73334 -23.59145),VSO,Terminal Intermodal Vila Sônia
