station,connecting_line,connecting_lineLabel,coordinate_location,stationLabel
http://www.wikidata.org/entity/Q5244817,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.639345 -23.619133),Estação Saúde
http://www.wikidata.org/entity/Q10276152,http://www.wikidata.org/entity/Q5245848,Linha 9 do Trem Metropolitano de São Paulo,Point(-46.710815 -23.663486),Estação Socorro
http://www.wikidata.org/entity/Q10276155,http://www.wikidata.org/entity/Q5245830,Linha 11 do Trem Metropolitano de São Paulo,Point(-46.30806 -23.53411),Estação Suzano
http://www.wikidata.org/entity/Q7665407,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.633806 -23.543914),Estação São Bento
http://www.wikidata.org/entity/Q10276161,http://www.wikidata.org/entity/Q10278788,Expresso Linha 10,Point(-46.57006 -23.61006),Estação São Caetano do Sul - Prefeito Walter Braido
http://www.wikidata.org/entity/Q10276161,http://www.wikidata.org/entity/Q5245819,Linha 10 do Trem Metropolitano de São Paulo,Point(-46.57006 -23.61006),Estação São Caetano do Sul - Prefeito Walter Braido
http://www.wikidata.org/entity/Q7665498,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.638653 -23.561892),Estação São Joaquim
http://www.wikidata.org/entity/Q7665592,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.64075 -23.625609),Estação São Judas
http://www.wikidata.org/entity/Q18475809,http://www.wikidata.org/entity/Q5430612,Linha 15 do Metrô de São Paulo,Point(-46.544644 -23.5889),Estação São Lucas
http://www.wikidata.org/entity/Q10276169,http://www.wikidata.org/entity/Q5245789,Linha 12 do Trem Metropolitano de São Paulo,Point(-46.441644 -23.490633),Estação São Miguel Paulista
http://www.wikidata.org/entity/Q9290828,http://www.wikidata.org/entity/Q3308457,Linha 4 do Metrô de São Paulo,Point(-46.7238 -23.58572),Estação São Paulo-Morumbi
http://www.wikidata.org/entity/Q3132156,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.633522 -23.55059),Estação Sé
http://www.wikidata.org/entity/Q3132156,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.633522 -23.55059),Estação Sé
http://www.wikidata.org/entity/Q7680683,http://www.wikidata.org/entity/Q10278788,Expresso Linha 10,Point(-46.587932 -23.59447),Estação Tamanduateí
http://www.wikidata.org/entity/Q7680683,http://www.wikidata.org/entity/Q5245819,Linha 10 do Trem Metropolitano de São Paulo,Point(-46.587932 -23.59447),Estação Tamanduateí
http://www.wikidata.org/entity/Q7688505,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.576184 -23.540314),Estação Tatuapé
http://www.wikidata.org/entity/Q7688505,http://www.wikidata.org/entity/Q5245830,Linha 11 do Trem Metropolitano de São Paulo,Point(-46.576184 -23.540314),Estação Tatuapé
http://www.wikidata.org/entity/Q7688505,http://www.wikidata.org/entity/Q5245789,Linha 12 do Trem Metropolitano de São Paulo,Point(-46.576184 -23.540314),Estação Tatuapé
http://www.wikidata.org/entity/Q7809083,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.631963 -23.530832),Estação Tiradentes
http://www.wikidata.org/entity/Q3071513,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.655127 -23.562549),Estação Trianon-Masp
